Context,ID,Text,Comments
AMI_DroneDied,line:6df54e,"AMI: Існує невідповідність кількості працівників та працівників.Це повинно означати, що працівник не працює.",
AMI_DroneDied,line:175087,Амі: Знайшов це.Працівник MRS-04.,
AMI_DroneDied,line:bdc501,Амі: Це ...,
AMI_DroneDied,line:db7351,Гравець: сумно.,
AMI_DroneDied,line:46e907,Гравець: Логічний.,
AMI_DroneDied,line:c97ff1,"AMI: Для створення кожного з цих працівників потрібен час, ресурси та зусилля.",
AMI_DroneDied,line:607875,"Амі: До побачення, місіс-04.Ваша робота змінила тут.",
AMI_DroneDied,line:438800,AMI: Навколишнє середовище на Марсі суворо на електроніці.,
AMI_DroneDied,line:f62146,AMI: Мені потрібно буде стежити за кількістю працівників.,
AMI_DroneSpawned,line:8c8d43,Амі:Першийпрацівникбувзробленийна<i>фабриціробітників.Це</i>мій перший Марсборн.,
AMI_DroneSpawned,line:79f68b,Гравець: Народився?,
AMI_DroneSpawned,line:98fe2d,Гравець: Перший з багатьох.,
AMI_DroneSpawned,line:9048dc,"Амі: Звичайно, технічно не народився.Більше як інженерно або зібрано.Так само, як я.",
AMI_DroneSpawned,line:2533ad,Амі: Мої працівники пошириться по планеті.,
AMI_DroneSpawned,line:d86b54,"AMI: База знань говорить, що працівникам потрібно зарядитись у власних робочих центрах.",
AMI_DroneSpawned,line:dec059,Амі: І що вони з часом погіршаться від суворого середовища.,
AMI_DroneSpawned,line:4345a6,"Амі: Я знаю, що це лише машини, але я відчуваю бажання піклуватися про них.",
AMI_DroneSpawned,line:31b394,"Амі: Мені не подобається ідея, як вони вмирають.",
AMI_FinalDiscovery,line:870180,AMI: Я виявив незвідану будівлю в SA-11.Я повинен це вивчити.,
AMI_First_Emigration,line:febecf,AMI: Для підтримки колоній не вистачає.,
AMI_First_Emigration,line:c7b83e,AMI: Мені потрібно краще підтримувати ці ресурси.,
AMI_First_Emigration,line:341616,AMI: Колоністи мігрували назад на Землю.,
AMI_First_Emigration,line:db1a68,Амі: Я повинен перевірити ...,
