Context,ID,Text,Comments
AMI_CitizenDied,line:cfce2d,"Початковий рядок діалогу.Налаштування: Оскільки AMI є AI, у них немає статі, і вони використовують небінарні займенники, єдині ""вони"", ""їх"" і ""їх"".Тон: []",
AMI_CitizenDied,line:db1a68,,
AMI_CitizenDied,line:a45c1e,Не записуватися.Варіант A1,
AMI_CitizenDied,line:2038e4,Не записуватися.Варіант B1,
AMI_CitizenDied,line:895255,Діалог продовжується від варіанту A1.,
AMI_CitizenDied,line:0dc65d,Варіант A1,
AMI_CitizenDied,line:aa5f35,Діалог продовжується від варіанту B1.,
AMI_CitizenDied,line:e60c15,Параметри A1 і B1 можуть сходити тут.,
AMI_CitizenDied,line:0964db,,
AMI_CitizenDied,line:8a2a15,Не записуватися.Варіант A2,
AMI_CitizenDied,line:50536b,Не записуватися.Варіант B2,
AMI_CitizenDied,line:bfdbac,Параметри A1 і B1 також можуть сходити тут.,
AMI_CitizenDied,line:412f6d,,
AMI_CitizenDied,line:bf48a9,Не записуватися.Варіант A3,
AMI_CitizenDied,line:49b885,Не записуватися.Варіант B3,
AMI_CitizenDied,line:9e7edb,Діалог продовжується від варіанту A2 або A3.,
AMI_CitizenDied,line:3e48b9,Варіант A2 або A3,
AMI_CitizenDied,line:c7b83e,Варіант A2 або A3,
AMI_CitizenDied,line:42217c,Діалог продовжується від варіанту B2 або B3.,
AMI_CitizenDied,line:5dd2e4,"Остаточний діалог.Параметри A2 і A3, і B2 і B3 конвергуються тут.",
AMI_DroneSpawned,line:dd3440,"Початковийрядок<i>діалогу.Слово,що</i>міститься за допомогою, повинно бути підкреслено.",
AMI_DroneSpawned,line:6b7b5c,Не записуватися.Варіант a,
AMI_DroneSpawned,line:895e23,Не записуватися.Варіант B,
AMI_DroneSpawned,line:3021ee,Final dialogue line. Dialogue continues from Option A.,
AMI_DroneSpawned,line:747efe,Остаточний діалог.Діалог продовжується від варіанту B.,
AMI_NewColonyFounded,line:147d58,Початковий рядок діалогу.,
