Context,ID,Text,Comments
Backend,BE_CargoQuantity[1],{0: 0.#},
Backend,BE_building_NOT_activated,<color=red>ДЕАКТИВОВАНО!</color>,
Backend,BE_building_NOT_powered,<color=red>НЕМАЄ ЖИВЛЕННЯ!</color>,
Backend,BE_building_health[1],Здоров'я: {0: P0},
Backend,BE_building_HomeDockedDrone[1],Пришвартований працівник: {0},
Backend,BE_building_AssignedDrone_SINGULAR[1],Призначений працівник: {0},
Backend,BE_building_AssignedDrone_PLURAL[1],Призначені працівники:\n\tПрацівники {0},
Backend,BE_building_WorkState_AwaitingConstructionMaterials,Чекає будівельних матеріалів:,
Backend,BE_building_WorkState_MaterialsLine[3], {0} {1}/{2},
Backend,BE_building_WorkState_ConstructionProgress[1],Прогрес будівництва: {0: P0},
Backend,BE_building_WorkState_AwaitingUpgradeMaterials,Очікуючи оновлення матеріалів:,
Backend,BE_building_WorkState_UpgradeProgress[1],Прогрес покращення: {0: P0},
Backend,BE_building_WorkState_ScrapProgress[1],Прогрес брухту: {0: P0},
Backend,BE_building_WorkState_AwaitingRubbleClearOut,Чекає на видалення залишків,
Backend,BE_building_hyperloop_description,Дозволяє транспортувати між віддаленими точками вантаж та працівників.,
Backend,BE_building_hyperloop_name,Hyperloop термінал,
Backend,BE_building_water_mine_description,"Витягує лід із підземних покладів. Для розроблення родовищ, що залягають глибоко і надглибоко, потрібні шахти вищого рівня.",
Backend,BE_building_water_mine_name,Льодовий бурильний завод,
Backend,BE_building_water_mine_2_name,Вдосконалений льодовий бурильний завод,
Backend,BE_building_water_mine_3_name,Надсучасний бур для видобутку льоду,
Backend,BE_building_water_treatment_plant_description,"Видобуває воду з водойм та покращує її якість, щоб її можна було розподіляти водопровідною мережею.",
Backend,BE_building_water_treatment_plant_name,Очисна станція,
Backend,BE_building_aluminum_mine_description,"Видобуває та переробляє алюмінієву руду, але для глибоких та надглибоких родовищ необхідні алюмінієві шахти покращених рівнів.",
Backend,BE_building_aluminum_mine_name,Алюмінієва шахта,
Backend,BE_building_aluminum_mine_2_name,Вдосконалена алюмінієва шахта,
Backend,BE_building_aluminum_mine_3_name,Надсучасна алюмінієва шахта,
